Experience (years),Years at Current Company,Location,Remote Ratio,Education Level,Company Size,Company Tier,Salary,Salary (USD)
6.2,3.3,Bangalore,100,PhD,Large,Tier 1,88941,17788
2.3,0.5,San Francisco,100,Master,Large,Tier 1,61741,67915
2.9,4.4,San Francisco,50,Master,Small,Tier 2,42664,46930
16.1,4.6,Chicago,0,PhD,Large,Tier 2,120452,102384
8.1,9.5,Austin,0,Bachelor,Small,Tier 3,41910,37719
10.6,7.5,Bangalore,0,Master,Large,Tier 2,79794,15958
6.8,8.2,New York,100,Bachelor,Small,Tier 3,40410,40410
0.5,4.4,San Francisco,100,Master,Small,Tier 1,44444,48888
7.4,1.9,London,0,PhD,Medium,Tier 2,78899,63119
2.5,7.6,Seattle,0,Master,Medium,Tier 1,59646,56663
6.3,8.7,San Francisco,50,Bachelor,Medium,Tier 2,49359,54294
16.1,0.9,Austin,100,Bachelor,Large,Tier 2,83385,75046
14.8,9.9,Austin,50,Master,Medium,Tier 1,103235,92911
11.7,7.6,Seattle,50,Bachelor,Small,Tier 3,48261,45847
4.6,4.4,London,0,PhD,Large,Tier 3,54060,43248
1.7,3.5,Bangalore,50,PhD,Medium,Tier 3,43585,8717
18,2.5,Seattle,0,Master,Small,Tier 3,68565,65136
5.9,0.5,San Francisco,100,PhD,Large,Tier 3,65921,72513
0.7,5.3,Austin,50,PhD,Medium,Tier 2,50700,45630
19,2.6,Bangalore,100,Master,Large,Tier 3,90159,18031
19.6,2.1,San Francisco,100,Master,Medium,Tier 3,83215,91536
14.5,8.2,San Francisco,50,Master,Large,Tier 2,92566,101822
6.4,10,Remote,50,PhD,Large,Tier 1,93531,84177
16.2,2.4,New York,50,PhD,Medium,Tier 1,127563,127563
12.5,4.1,San Francisco,100,Master,Small,Tier 3,55050,60555
16,5.1,Remote,0,Bachelor,Medium,Tier 2,73507,66156
4,6.7,Remote,100,Master,Medium,Tier 3,44049,39644
6.3,0.5,Seattle,50,Bachelor,Medium,Tier 2,52599,49969
17.1,4.5,New York,100,Master,Medium,Tier 1,113765,113765
3.7,3.4,Remote,0,Master,Medium,Tier 2,48052,43246
19.1,3.1,New York,50,Master,Large,Tier 3,95776,95776
6.1,10,New York,100,Bachelor,Small,Tier 3,34177,34177
8.6,9.6,Seattle,100,Master,Medium,Tier 2,71310,67744
5.1,3.8,Bangalore,0,PhD,Medium,Tier 1,76715,15343
12.3,2.3,Austin,100,Bachelor,Medium,Tier 2,64024,57621
15.5,2.1,London,50,PhD,Medium,Tier 3,85168,68134
13.1,0,Seattle,100,Master,Medium,Tier 3,64997,61747
6.9,2.5,New York,100,Bachelor,Medium,Tier 3,43281,43281
3.1,0.1,Austin,100,Master,Small,Tier 3,37779,34001
9.2,0.8,London,100,Bachelor,Small,Tier 1,57830,46264
10.5,1.9,Bangalore,0,PhD,Medium,Tier 3,73837,14767
19.6,5.8,Seattle,0,Bachelor,Large,Tier 3,73986,70286
11.7,8.5,San Francisco,0,Bachelor,Small,Tier 2,58235,64058
16,3.3,Seattle,100,Bachelor,Large,Tier 3,71227,67665
0,4.2,London,50,Master,Small,Tier 2,37231,29784
6.8,9,Austin,50,Bachelor,Medium,Tier 3,43206,38885
5.4,6,Remote,50,PhD,Small,Tier 3,53939,48545
12.6,4.3,Remote,100,PhD,Small,Tier 2,85798,77218
0.6,6.8,Chicago,100,Bachelor,Large,Tier 1,48522,41243
7.2,7.6,Chicago,50,Bachelor,Small,Tier 1,60370,51314
8.2,1.4,Bangalore,0,Master,Large,Tier 2,76555,15311
16.6,1.2,Seattle,100,Master,Large,Tier 1,118360,112442
13,0.9,Chicago,50,Master,Medium,Tier 2,81175,68998
12,6.7,New York,0,PhD,Medium,Tier 2,91651,91651
6.9,3.5,Remote,0,PhD,Large,Tier 2,76049,68444
0.1,2.3,London,100,Bachelor,Medium,Tier 2,37626,30100
18.3,3.4,Seattle,50,Master,Large,Tier 2,109281,103816
19.9,7.6,Remote,100,Master,Medium,Tier 2,105667,95100
11.7,4.3,Seattle,100,Master,Large,Tier 2,82812,78671
8,6.4,Seattle,0,Bachelor,Small,Tier 3,38662,36728
15.3,6.4,Austin,100,PhD,Medium,Tier 1,127224,114501
4.7,4.9,Austin,0,PhD,Medium,Tier 1,80181,72162
1.1,2.6,New York,0,Bachelor,Small,Tier 1,42382,42382
8.3,7.4,Chicago,0,PhD,Small,Tier 1,86244,73307
9.2,3.5,Chicago,0,Master,Medium,Tier 1,79090,67226
13.8,4.2,New York,50,Master,Small,Tier 2,76744,76744
3.8,0.1,Chicago,50,PhD,Large,Tier 3,53051,45093
4.4,5.5,Seattle,50,Master,Large,Tier 1,73578,69899
8.2,0.4,London,100,Bachelor,Large,Tier 3,53283,42626
3.4,7.7,Chicago,0,Master,Medium,Tier 1,57316,48718
14.3,3.8,San Francisco,100,Bachelor,Medium,Tier 2,67781,74559
13.7,8.1,Bangalore,0,Master,Large,Tier 3,81141,16228
6.4,5.5,Austin,50,Master,Small,Tier 3,42545,38290
16.6,9.2,Seattle,100,Master,Medium,Tier 3,81123,77066
12.4,4.5,Austin,50,Bachelor,Medium,Tier 3,57507,51756
11.9,8.1,London,50,PhD,Small,Tier 2,83392,66713
0.1,6.3,New York,0,PhD,Small,Tier 3,37863,37863
15.1,7.9,Bangalore,0,Master,Large,Tier 2,96807,19361
14.9,0.5,London,100,PhD,Small,Tier 1,114806,91844
12.4,2.3,Seattle,50,Bachelor,Small,Tier 1,69417,65946
8.1,6.3,Austin,50,Master,Small,Tier 2,59844,53859
10.2,0.6,Austin,100,PhD,Small,Tier 3,62044,55839
3.8,1.1,Austin,0,Master,Medium,Tier 2,51561,46404
4.1,0.5,Bangalore,100,Master,Medium,Tier 1,63943,12788
2.5,0.6,Seattle,50,Bachelor,Large,Tier 3,40759,38721
14.1,1,New York,100,Bachelor,Small,Tier 2,65758,65758
19.2,9.2,Chicago,50,Bachelor,Large,Tier 1,115057,97798
8.5,8,New York,100,Bachelor,Large,Tier 1,77252,77252
6.4,0.9,San Francisco,100,PhD,Small,Tier 2,68445,75289
5,1.1,Seattle,50,Bachelor,Small,Tier 1,47884,45489
4,8.2,London,0,Bachelor,Small,Tier 2,36397,29117
10.7,7.2,Chicago,50,Bachelor,Medium,Tier 2,63478,53956
19.9,1,Chicago,0,Bachelor,Small,Tier 2,76077,64665
8.8,4.4,Remote,100,Bachelor,Small,Tier 3,43657,39291
19.8,7.1,Remote,50,Master,Small,Tier 3,77309,69578
9.2,2.8,Chicago,50,PhD,Small,Tier 2,75201,63920
12.7,3.2,Chicago,100,Bachelor,Medium,Tier 2,66543,56561
12.3,3.1,Austin,100,Bachelor,Small,Tier 2,56917,51225
11.7,6.5,Remote,100,PhD,Large,Tier 1,120670,108603
2.3,8.2,San Francisco,0,Bachelor,Medium,Tier 2,37589,41347
8.9,4.3,Seattle,100,Bachelor,Small,Tier 1,57580,54701
3.1,7.5,Chicago,100,Master,Small,Tier 1,51246,43559
4.9,6.4,San Francisco,100,Master,Medium,Tier 1,66362,72998
2.2,1.1,London,50,Bachelor,Medium,Tier 1,45657,36525
3.2,1.5,Austin,0,PhD,Small,Tier 3,38670,34803
6.2,4.7,London,100,Master,Medium,Tier 1,69746,55796
1.1,4.9,Chicago,50,Bachelor,Large,Tier 1,49626,42182
12.2,4.4,Seattle,100,Master,Large,Tier 2,82950,78802
13.7,3.2,Bangalore,100,PhD,Medium,Tier 3,81597,16319
11,6,San Francisco,50,Bachelor,Small,Tier 3,45836,50419
8,6.6,Austin,0,Master,Medium,Tier 2,65969,59372
12.2,4.1,Remote,0,Master,Small,Tier 3,57819,52037
17.4,1.6,Remote,100,Bachelor,Large,Tier 1,100589,90530
15.9,5.1,Chicago,0,PhD,Small,Tier 2,97153,82580
13.2,8.9,Chicago,100,Bachelor,Large,Tier 1,89848,76370
17.9,4.7,Austin,100,PhD,Medium,Tier 2,119084,107175
1.6,0.2,Remote,0,Bachelor,Small,Tier 1,42241,38016
0.7,9.7,London,50,PhD,Medium,Tier 1,55998,44798
18.5,2.5,Remote,0,PhD,Large,Tier 2,133490,120141
18.2,1.6,New York,50,PhD,Small,Tier 1,128212,128212
12.3,3.6,London,0,Bachelor,Small,Tier 1,66160,52928
9.5,5.3,Bangalore,0,Master,Medium,Tier 1,83436,16687
2.3,5.9,Chicago,100,Bachelor,Large,Tier 1,52461,44591
0.3,6.4,Remote,50,Master,Medium,Tier 3,38122,34309
6.1,9.5,New York,50,Bachelor,Large,Tier 1,69336,69336
18,0.7,New York,0,Master,Large,Tier 1,132493,132493
0.9,10,Bangalore,50,Bachelor,Small,Tier 2,30924,6184
1,7.7,Bangalore,0,Bachelor,Small,Tier 2,36021,7204
6.7,7.5,Austin,0,Master,Medium,Tier 1,77811,70029
5.2,9.2,San Francisco,0,PhD,Small,Tier 2,61270,67397
2.6,3.9,Remote,100,Bachelor,Large,Tier 1,53106,47795
17.4,7.1,New York,50,PhD,Small,Tier 1,123081,123081
10.9,5.3,Bangalore,0,PhD,Medium,Tier 2,92590,18518
2,1.5,Chicago,100,PhD,Medium,Tier 3,46866,39836
5.6,0.2,Bangalore,50,Master,Medium,Tier 3,51764,10352
2.3,9.8,San Francisco,50,PhD,Small,Tier 1,53990,59389
17.8,7.3,Seattle,100,PhD,Large,Tier 3,104172,98963
9.1,7.6,London,0,Master,Medium,Tier 3,59964,47971
7.5,5.6,San Francisco,100,Master,Large,Tier 2,67467,74213
13.2,9.6,Seattle,100,Master,Small,Tier 1,93438,88766
18.5,4,London,0,Bachelor,Small,Tier 2,78093,62474
13,4.3,Remote,0,Bachelor,Medium,Tier 1,78002,70201
14.4,0.6,Bangalore,100,PhD,Small,Tier 2,93276,18655
19.2,3.9,Remote,100,Bachelor,Medium,Tier 3,66693,60023
2.9,8.7,London,0,Master,Large,Tier 1,68445,54756
5.9,8.6,London,50,PhD,Medium,Tier 3,51888,41510
10.5,0.3,New York,0,PhD,Medium,Tier 1,106622,106622
3.3,0.5,San Francisco,100,Bachelor,Large,Tier 3,40488,44536
6,0,New York,100,Bachelor,Medium,Tier 1,53763,53763
9.1,9.5,Seattle,100,Bachelor,Medium,Tier 2,54584,51854
0.9,3.4,Bangalore,0,Master,Small,Tier 1,43915,8783
17.1,3.2,San Francisco,50,PhD,Large,Tier 2,127121,139833
17.6,9.9,Austin,0,PhD,Medium,Tier 3,94834,85350
8.6,4.3,Remote,0,Bachelor,Large,Tier 1,76323,68690
7.9,7.8,Austin,0,Bachelor,Medium,Tier 1,60739,54665
0.1,0.6,Chicago,100,Bachelor,Small,Tier 3,23531,20001
14.9,4.3,San Francisco,0,Master,Large,Tier 1,118190,130009
9.9,1.4,San Francisco,0,PhD,Small,Tier 1,92245,101469
14.5,9.1,San Francisco,100,PhD,Large,Tier 2,113031,124334
12.7,2.9,New York,50,PhD,Small,Tier 3,72805,72805
15.9,4.5,Remote,100,PhD,Large,Tier 1,144052,129646
0.1,6.9,Seattle,50,Bachelor,Small,Tier 1,32629,30997
10.2,2.1,Remote,100,Master,Small,Tier 3,57705,51934
16.7,9.1,Austin,100,PhD,Small,Tier 1,114784,103305
17.2,2.6,San Francisco,100,Bachelor,Medium,Tier 1,97989,107787
6.9,4.9,Seattle,100,PhD,Medium,Tier 3,59841,56848
18.8,6.4,Chicago,50,Master,Small,Tier 3,72029,61224
8.2,6.7,London,100,PhD,Medium,Tier 2,80326,64260
2.7,7.8,London,0,Master,Medium,Tier 2,47605,38084
1.3,9.2,London,0,PhD,Medium,Tier 2,46282,37025
11.9,7.4,Seattle,100,PhD,Small,Tier 2,82671,78537
4,7.5,Seattle,100,Bachelor,Medium,Tier 2,45641,43358
10.4,5.3,Seattle,100,Bachelor,Medium,Tier 1,76475,72651
Experience (years),Years at Current Company,Location,Remote Ratio,Education Level,Company Size,Company Tier,Salary,Salary (USD)
5.3,7.3,London,100,Master,Large,Tier 1,78204,62563
1.1,9.2,Bangalore,50,Master,Medium,Tier 2,40984,8196
5.6,2.4,Remote,0,PhD,Large,Tier 2,78519,70667
20,6.6,San Francisco,100,PhD,Small,Tier 3,90150,99165
11,2.1,London,100,PhD,Large,Tier 3,84619,67695
10.1,7.6,London,50,PhD,Large,Tier 3,76253,61002
10.6,7.8,London,0,Bachelor,Large,Tier 2,65475,52380
11.2,8.9,Austin,100,Master,Medium,Tier 3,65212,58690
16.7,6.5,Austin,50,Bachelor,Large,Tier 1,98977,89079
14.7,9.1,Chicago,50,Master,Medium,Tier 1,101979,86682
11.5,7.2,San Francisco,100,Master,Small,Tier 1,80320,88352
14.7,4.8,San Francisco,50,PhD,Medium,Tier 2,102462,112708
1.8,9.4,Remote,0,PhD,Small,Tier 2,49013,44111
15.1,9.7,Bangalore,0,Master,Medium,Tier 2,90848,18169
4.9,1,London,50,Master,Small,Tier 3,45523,36418
15.5,3.2,Austin,50,PhD,Small,Tier 3,82884,74595
3.8,8.5,Bangalore,50,Master,Small,Tier 2,44190,8838
3.5,5.5,New York,0,Bachelor,Large,Tier 1,60106,60106
11.5,3.9,Remote,0,Master,Medium,Tier 3,60374,54336
3.1,9.3,Remote,100,Bachelor,Medium,Tier 1,52813,47531
1.7,9.3,Bangalore,0,PhD,Small,Tier 2,44672,8934
4.6,2.6,Remote,0,Bachelor,Large,Tier 1,61405,55264
15.5,8.5,Seattle,0,Master,Medium,Tier 3,78872,74928
9,2.2,Austin,100,Bachelor,Small,Tier 2,54596,49136
10.6,5,Chicago,50,Master,Small,Tier 3,55782,47414
0.6,0.3,Bangalore,50,PhD,Large,Tier 1,63944,12788
0.5,1.7,New York,0,PhD,Small,Tier 2,47837,47837
2.1,7.4,Chicago,0,Bachelor,Small,Tier 1,45014,38261
18,2.3,London,0,Bachelor,Large,Tier 3,78816,63052
7.1,5.8,Bangalore,100,PhD,Small,Tier 1,77862,15572
1.7,4,San Francisco,100,PhD,Small,Tier 2,49075,53982
5.3,2.6,Austin,100,Master,Medium,Tier 2,54582,49123
1,6.4,Chicago,0,Bachelor,Large,Tier 1,42198,35868
10,2.1,San Francisco,50,Bachelor,Small,Tier 1,66050,72655
9.4,1.2,Austin,50,Bachelor,Large,Tier 3,55346,49811
10.7,1.8,Seattle,100,PhD,Large,Tier 3,78277,74363
9.4,3.2,Bangalore,0,PhD,Large,Tier 1,106583,21316
4.8,5.6,Chicago,0,Bachelor,Small,Tier 3,31477,26755
5.2,6.8,London,0,Master,Large,Tier 3,55393,44314
7,3.7,Remote,0,PhD,Medium,Tier 3,63314,56982
16.1,6,Seattle,0,Master,Medium,Tier 1,114019,108318
17.2,4.5,Remote,0,PhD,Medium,Tier 3,89629,80666
16.8,1.1,London,100,PhD,Small,Tier 1,115931,92744
1,3.3,New York,50,Bachelor,Medium,Tier 1,40879,40879
10.9,2.9,San Francisco,0,PhD,Small,Tier 3,62405,68645
17.1,5,Bangalore,50,Bachelor,Medium,Tier 2,80999,16199
9.1,3.1,Chicago,0,Bachelor,Medium,Tier 3,49160,41786
9.9,1.9,Bangalore,0,PhD,Medium,Tier 1,100293,20058
2.6,7.9,Chicago,0,Master,Small,Tier 1,48256,41017
2.6,4.7,Chicago,50,PhD,Large,Tier 1,77255,65666
18.6,4.1,Bangalore,0,Bachelor,Large,Tier 1,104728,20945
13.9,7.3,Remote,100,PhD,Small,Tier 3,70012,63010
6.9,4.7,Seattle,50,Bachelor,Medium,Tier 1,62488,59363
14.9,5.2,Chicago,100,Master,Small,Tier 3,69730,59270
4.1,7.4,London,100,Bachelor,Medium,Tier 1,48390,38712
9.8,2.2,Chicago,50,Master,Large,Tier 2,76694,65189
11.7,9,London,0,PhD,Medium,Tier 1,104344,83475
6.7,6,Austin,50,Master,Medium,Tier 1,70870,63783
8.7,6.6,Seattle,100,Bachelor,Medium,Tier 1,67465,64091
17.5,4.8,Chicago,50,Bachelor,Small,Tier 3,57182,48604
0.4,7.3,Chicago,50,Bachelor,Medium,Tier 3,27776,23609
13.3,9.1,New York,100,Master,Large,Tier 3,78230,78230
5.5,6.6,Remote,100,Bachelor,Medium,Tier 2,44745,40270
0.9,1.7,London,50,PhD,Large,Tier 1,65980,52784
4.5,3.4,New York,50,PhD,Large,Tier 3,56743,56743
6,0.2,Seattle,100,Bachelor,Small,Tier 1,49581,47101
12.9,3.7,San Francisco,50,PhD,Medium,Tier 1,115278,126805
14.5,6.1,Bangalore,0,Bachelor,Medium,Tier 2,73829,14765
14.3,4.3,New York,50,Master,Medium,Tier 2,83772,83772
3.3,4,London,100,PhD,Large,Tier 1,81243,64994
1,2.9,San Francisco,100,Master,Large,Tier 2,51720,56892
16.3,6.3,Remote,100,Bachelor,Small,Tier 3,53011,47709
5.4,3.1,London,50,Bachelor,Large,Tier 3,40049,32039
5.5,8.2,Chicago,0,Bachelor,Large,Tier 1,59092,50228
6.5,5.2,Seattle,0,Master,Large,Tier 3,53228,50566
9.3,3,London,50,Bachelor,Large,Tier 1,78091,62472
8.6,1.5,Remote,100,Bachelor,Large,Tier 1,69462,62515
9.6,8.5,San Francisco,100,Bachelor,Large,Tier 3,54800,60280
9.7,7.8,Bangalore,50,Bachelor,Medium,Tier 3,49900,9980
10.7,5.9,New York,100,Bachelor,Large,Tier 2,70017,70017
8,9.6,Bangalore,0,PhD,Small,Tier 3,61057,12211
17,8.1,Seattle,50,PhD,Small,Tier 1,121741,115653
12.1,0.4,Chicago,100,Master,Medium,Tier 2,82740,70329
5.6,6.8,Seattle,0,Bachelor,Small,Tier 1,47982,45582
16.7,5.5,New York,0,Bachelor,Medium,Tier 1,91125,91125
10.7,3.6,London,100,Master,Medium,Tier 1,90688,72550
8.9,7.3,New York,100,PhD,Small,Tier 2,75808,75808
0.8,6.1,Seattle,0,Bachelor,Large,Tier 3,35817,34026
19.2,9.7,New York,100,Bachelor,Large,Tier 2,96660,96660
7,9.9,Remote,50,PhD,Small,Tier 3,58022,52219
6.3,2.1,Bangalore,0,Bachelor,Medium,Tier 2,49698,9939
4.4,3.9,New York,50,PhD,Large,Tier 3,57158,57158
3.7,1,San Francisco,100,Master,Medium,Tier 3,37705,41475
2.7,6.2,Remote,100,Bachelor,Large,Tier 1,55120,49608
18.8,1.5,Austin,0,Bachelor,Small,Tier 3,63962,57565
16.6,3.5,London,50,Bachelor,Large,Tier 3,72487,57989
16.8,6.9,Austin,50,Bachelor,Medium,Tier 1,90169,81152
18.7,2.7,New York,50,PhD,Large,Tier 1,158341,158341
8.5,6,Seattle,100,Master,Large,Tier 3,58120,55214
14.6,8.9,Seattle,100,PhD,Medium,Tier 1,120640,114608
14.2,6.1,New York,0,Bachelor,Medium,Tier 1,86224,86224
9.4,3.4,Chicago,100,Bachelor,Small,Tier 2,56645,48148
17.6,0.9,New York,0,PhD,Small,Tier 2,99906,99906
15,2.4,New York,50,Master,Small,Tier 1,99389,99389
14.8,4.2,Austin,50,Bachelor,Medium,Tier 3,57688,51919
18.6,1.3,Bangalore,0,Bachelor,Medium,Tier 3,67945,13589
7.7,0.6,San Francisco,0,PhD,Large,Tier 2,88153,96968
13.5,7.7,Austin,0,PhD,Small,Tier 3,74272,66844
16.8,6.7,London,100,Bachelor,Large,Tier 3,66445,53156
12,7.8,San Francisco,0,PhD,Small,Tier 1,100886,110974
9,7.4,Remote,0,Master,Small,Tier 2,59798,53818
2.4,6.5,Chicago,100,Master,Small,Tier 2,42860,36431
16.8,2.7,Austin,100,Bachelor,Medium,Tier 3,67994,61194
2.3,6.7,Chicago,100,Master,Medium,Tier 3,42026,35722
5.8,2.8,Bangalore,0,Bachelor,Large,Tier 2,55010,11002
7.8,2.2,London,50,Bachelor,Small,Tier 1,57362,45889
9.6,2.6,Bangalore,0,PhD,Medium,Tier 1,94728,18945
11,8.8,New York,100,Bachelor,Small,Tier 1,72234,72234
10.9,2.5,Seattle,0,Bachelor,Small,Tier 2,61676,58592
12.6,4.2,Remote,0,PhD,Small,Tier 2,81194,73074
3.3,1.8,Bangalore,100,Master,Medium,Tier 1,59261,11852
14.9,5.2,San Francisco,100,Bachelor,Medium,Tier 3,64332,70765
5.9,2.1,London,0,PhD,Large,Tier 1,91430,73144
19.5,9.4,Chicago,100,Master,Large,Tier 2,115880,98498
2.5,2.1,London,50,Bachelor,Small,Tier 2,39016,31212
12.3,8.7,Chicago,0,Bachelor,Large,Tier 3,64610,54918
5.7,2.5,Remote,100,Master,Medium,Tier 1,66739,60065
18.4,8.3,London,100,Bachelor,Large,Tier 1,112119,89695
10.6,0.4,Bangalore,0,Bachelor,Medium,Tier 3,52777,10555
12.4,5.2,San Francisco,50,Bachelor,Medium,Tier 3,53754,59129
8.2,1.1,Austin,50,Bachelor,Small,Tier 2,47733,42959
17.8,4.4,Chicago,0,Bachelor,Large,Tier 3,75935,64544
18.2,4.1,Seattle,50,Bachelor,Large,Tier 2,94984,90234
8.5,0,London,50,Master,Small,Tier 1,69123,55298
1,5.1,Bangalore,50,PhD,Small,Tier 2,49793,9958
7.2,8.5,Remote,50,Bachelor,Medium,Tier 2,57739,51965
13.9,4.5,Seattle,100,Master,Large,Tier 1,109670,104186
3.5,3.6,Austin,0,Bachelor,Medium,Tier 3,33152,29836
2.2,2.5,New York,0,Bachelor,Large,Tier 3,39253,39253
5.7,6.5,Chicago,50,Master,Medium,Tier 1,69374,58967
18.1,1.5,Remote,100,PhD,Large,Tier 3,99655,89689
15.6,2.9,London,50,PhD,Small,Tier 2,99836,79868
2.8,5.7,Chicago,100,PhD,Large,Tier 2,63552,54019
19.9,6.7,Remote,100,Bachelor,Large,Tier 1,117521,105768
1.1,6.3,Bangalore,0,Master,Small,Tier 3,35549,7109
15.5,4.5,Austin,100,Bachelor,Large,Tier 2,81968,73771
6.8,5.3,Seattle,0,PhD,Small,Tier 1,72487,68862
0.8,1.5,San Francisco,100,Master,Medium,Tier 1,48617,53478
8.1,8.4,Chicago,0,Bachelor,Small,Tier 2,52514,44636
2.8,6.2,London,50,Bachelor,Medium,Tier 1,50109,40087
18.6,2.6,Remote,100,PhD,Small,Tier 1,121851,109665
8.5,9,London,50,Master,Large,Tier 1,83246,66596
3.3,0.6,Remote,0,Bachelor,Large,Tier 3,36776,33098
9.5,3.6,Austin,50,Bachelor,Large,Tier 1,80522,72469
19.8,5.6,Remote,50,Bachelor,Large,Tier 2,99488,89539
6.3,6.6,Bangalore,0,Bachelor,Large,Tier 1,66264,13252
2.6,4.7,Austin,100,Bachelor,Medium,Tier 3,35361,31824
3.6,0.9,New York,0,PhD,Small,Tier 1,61239,61239
0.2,4,San Francisco,0,PhD,Medium,Tier 2,49339,54272
19.5,1.2,London,50,Bachelor,Medium,Tier 1,105942,84753
12.5,1.4,New York,0,Bachelor,Large,Tier 1,83079,83079
19.1,3.5,Chicago,0,Bachelor,Small,Tier 2,72576,61689
16.8,5.3,New York,0,Master,Small,Tier 3,70685,70685
0,8.3,Bangalore,50,Master,Medium,Tier 2,37915,7583
16.4,8,Chicago,0,Master,Large,Tier 3,85841,72964
19.3,1.8,Bangalore,100,PhD,Large,Tier 1,159848,31969
11.9,4.3,Bangalore,50,PhD,Large,Tier 1,124104,24820
10.7,2.3,New York,100,Bachelor,Small,Tier 3,49561,49561
18.4,0.7,Chicago,100,PhD,Small,Tier 3,84901,72165
11.4,3.7,San Francisco,0,Bachelor,Small,Tier 1,67104,73814
11.2,6.9,New York,0,PhD,Medium,Tier 1,103222,103222
1.3,7.8,Remote,0,PhD,Large,Tier 3,42639,38375
4.7,8.8,Austin,50,PhD,Medium,Tier 1,77237,69513
15.3,3.2,Austin,0,PhD,Medium,Tier 2,104935,94441
7,4.5,San Francisco,0,Master,Large,Tier 2,71123,78235
4.9,1.5,Austin,100,Master,Small,Tier 3,40482,36433
14.7,1.2,Chicago,0,Master,Small,Tier 3,65164,55389
15.9,4.3,Chicago,0,PhD,Small,Tier 2,92065,78255
4.3,0.9,Austin,50,PhD,Large,Tier 2,71445,64300
9.3,3,New York,50,Bachelor,Large,Tier 3,51360,51360
14,1.2,Seattle,100,Bachelor,Small,Tier 1,77597,73717
9.1,0,Chicago,100,Bachelor,Small,Tier 2,51253,43565
4.5,0.2,San Francisco,100,PhD,Small,Tier 1,69521,76473
14.6,8.7,London,100,PhD,Large,Tier 1,129310,103448
9.2,6.8,Remote,50,PhD,Small,Tier 1,82552,74296
14,1.9,New York,100,PhD,Large,Tier 1,128367,128367
15.8,6.5,London,100,Bachelor,Large,Tier 1,100748,80598
9.1,9,Chicago,0,Bachelor,Medium,Tier 3,43111,36644
18.4,9.6,London,50,PhD,Medium,Tier 2,113719,90975
16.6,9.8,Chicago,50,Master,Small,Tier 2,89210,75828
1.2,0.9,San Francisco,50,Bachelor,Large,Tier 1,42651,46916
4.9,1.2,San Francisco,0,Master,Medium,Tier 1,68046,74850
3.8,8.5,Seattle,0,Bachelor,Large,Tier 2,46913,44567
8.1,3.2,Bangalore,100,PhD,Large,Tier 2,88472,17694
9.9,0.2,Seattle,0,Bachelor,Small,Tier 2,56656,53823
14.5,7.7,London,50,Master,Medium,Tier 1,100022,80017
8.8,0.6,Bangalore,100,Master,Small,Tier 1,68065,13613
13.1,0.5,San Francisco,100,Bachelor,Small,Tier 2,64432,70875
0.5,9.9,Seattle,100,PhD,Small,Tier 1,48733,46296
16.8,0.3,Austin,100,PhD,Large,Tier 2,124098,111688
16.1,3.1,Austin,50,Bachelor,Large,Tier 2,82234,74010
13.6,6.7,San Francisco,50,PhD,Small,Tier 1,100307,110337
12.4,5,Chicago,100,PhD,Medium,Tier 1,114718,97510
4.3,5.9,Chicago,100,Master,Large,Tier 1,69530,59100
5,6.3,San Francisco,0,Master,Large,Tier 2,56915,62606
14.2,7.1,London,0,Bachelor,Large,Tier 2,81606,65284
9.6,5.3,Chicago,100,Master,Medium,Tier 3,61723,52464
6.5,7.9,Chicago,0,Bachelor,Small,Tier 1,54365,46210
3.3,7.2,New York,0,Bachelor,Small,Tier 3,31579,31579
0.3,8,Austin,0,PhD,Large,Tier 2,55677,50109
15.2,5.3,New York,100,Master,Large,Tier 1,115765,115765
13,4.7,Remote,50,Master,Medium,Tier 1,94575,85117
9.8,4.4,San Francisco,0,Bachelor,Large,Tier 2,64203,70623
13.7,9.6,New York,50,Bachelor,Small,Tier 3,48757,48757
19.7,5.9,Bangalore,100,Bachelor,Small,Tier 2,75218,15043
12.9,7.3,London,50,PhD,Medium,Tier 2,94218,75374
1.6,7.4,San Francisco,50,PhD,Medium,Tier 3,44474,48921
11.9,4.9,Seattle,50,Master,Small,Tier 3,60226,57214
15.3,5.6,Bangalore,50,Bachelor,Large,Tier 2,84134,16826
18.9,4.8,New York,50,Master,Large,Tier 1,128370,128370
2.9,9,Remote,0,PhD,Large,Tier 3,50472,45424
8.6,2.2,Austin,100,Bachelor,Large,Tier 2,66058,59452
4,3.1,New York,100,Bachelor,Medium,Tier 3,33308,33308
13.6,3.3,Seattle,100,Master,Medium,Tier 3,68171,64762
5.5,9.5,Austin,100,PhD,Small,Tier 3,53038,47734
13,5.2,Remote,100,PhD,Medium,Tier 3,82702,74431
14.9,5.9,Seattle,100,Master,Small,Tier 3,62223,59111
4.7,4.3,Austin,50,PhD,Small,Tier 1,72546,65291
17.4,10,Austin,100,Bachelor,Medium,Tier 1,96605,86944
4.4,4.1,San Francisco,100,Master,Medium,Tier 3,43757,48132
7.6,3.4,Austin,50,PhD,Small,Tier 2,63937,57543
16.6,1.4,Seattle,0,Bachelor,Small,Tier 2,70926,67379
0.8,3.1,San Francisco,100,Master,Large,Tier 1,58877,64764
14.1,5.8,Chicago,50,Master,Medium,Tier 3,65517,55689
10.5,0.7,London,100,Master,Medium,Tier 1,90111,72088
19.1,3.6,San Francisco,0,Bachelor,Small,Tier 2,77940,85734
14.2,5.9,Chicago,50,PhD,Small,Tier 3,78130,66410
